marker_value,marker_type,Colere,Degout,Joie,Peur,Surprise,Tristesse,Admiration,Culpabilite,Embarras,Fierte,Jalousie,total_count,P(Colere),P(Degout),P(Joie),P(Peur),P(Surprise),P(Tristesse),P(Admiration),P(Culpabilite),P(Embarras),P(Fierte),P(Jalousie),entropy,normalized_entropy
crasseuse,word,6.0,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,12.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2890648263178879
sale,word,4.0,5.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9.0,0.4444444444444444,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9910760598382222,0.28648522910495233
sale,lemma,4.0,5.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9.0,0.4444444444444444,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9910760598382222,0.28648522910495233
assumer,lemma,4.0,5.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9.0,0.4444444444444444,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9910760598382222,0.28648522910495233
mon,word,7.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,1.0,0.0,9.0,0.7777777777777778,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.9864267287308424,0.2851412710159032
mtn,lemma,4.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7.0,0.5714285714285714,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9852281360342515,0.2847948000262373
mtn,word,4.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7.0,0.5714285714285714,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9852281360342515,0.2847948000262373
autres,word,4.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7.0,0.5714285714285714,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9852281360342515,0.2847948000262373
merde,lemma,8.0,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,14.0,0.5714285714285714,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9852281360342515,0.2847948000262373
autre,word,4.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7.0,0.5714285714285714,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9852281360342515,0.2847948000262373
gouine,word,4.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7.0,0.5714285714285714,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9852281360342515,0.2847948000262373
frere,word,4.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7.0,0.5714285714285714,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9852281360342515,0.2847948000262373
gouine,lemma,4.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7.0,0.5714285714285714,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9852281360342515,0.2847948000262373
merde,word,10.0,7.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,17.0,0.5882352941176471,0.4117647058823529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9774178175281716,0.2825371116637899
gadji,lemma,2.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9709505944546686,0.28066766494928874
manche,lemma,3.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9709505944546686,0.28066766494928874
tas,word,2.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9709505944546686,0.28066766494928874
band,lemma,3.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9709505944546686,0.28066766494928874
arabe,word,2.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9709505944546686,0.28066766494928874
tas,lemma,2.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9709505944546686,0.28066766494928874
manche,word,3.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9709505944546686,0.28066766494928874
merd,lemma,3.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9709505944546686,0.28066766494928874
